Source,Target,Type,Label,Weight,source type,edge label,target type,gender
Atala,Gattin,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Wirt,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Bruder,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Priester,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Missionar,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Sterblicher,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Person,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Person,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Person,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Kriegsgefangener,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Missionsprediger,Undirected,,1,Figur,verkörpert,Rolle,
Schakta,Gotteslästerer,Undirected,,1,Figur,verkörpert,Rolle,
Pater Aubry,Flüchtling,Undirected,,1,Figur,verkörpert,Rolle,
Atala,Sklavin,Undirected,,1,Figur,verkörpert,Rolle,
Atalas Mutter,Mutter,Undirected,,1,Figur,verkörpert,Rolle,
junges Mädchen,Euphrosine,Undirected,,1,Rolle,verkörpert,Figur,
Genossin,Euphrosine,Undirected,,1,Rolle,verkörpert,Figur,
Nonne,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Äbtissin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Bruder,Délbens Bruder,Undirected,,1,Rolle,verkörpert,Figur,
Klosterschülerin,Euphrosine,Undirected,,1,Rolle,verkörpert,Figur,
Madame,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Oberin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Engel,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,Oberin,Undirected,,1,Rolle,verkörpert,Figur,
Freundin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Freundin,Euphrosine,Undirected,,1,Rolle,verkörpert,Figur,
Hure,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Freudenmädchen,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Engel,Euphrosine,Undirected,,1,Rolle,verkörpert,Figur,
Bacchantin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Geschöpf,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Kind,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Geliebte,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Teure,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Nonne,eine Nonne,Undirected,,1,Rolle,verkörpert,Figur,
gefallenes Weib,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Pensionärin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
weiblich ohne Ehre,Délben,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Elisabeth,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Flavia,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Seinte Elmé,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Vorsteherin,Vorsteherin der Novizen,Undirected,,1,Rolle,verkörpert,Figur,
Freundlin,Vorsteherin der Novizen,Undirected,,1,Rolle,verkörpert,Figur,
Freundin,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Liebling,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Teilnehmer,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Teilnehmer,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Novizin,Seinte Elmé,Undirected,,1,Rolle,verkörpert,Figur,
Pensionärin,Elisabeth,Undirected,,1,Rolle,verkörpert,Figur,
Pensionärin,Flavia,Undirected,,1,Rolle,verkörpert,Figur,
Teure,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,Fontenille,Undirected,,1,Rolle,verkörpert,Figur,
Gute,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Herzchen,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Freudenmädchen,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
männlich,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Kleine,Elisabeth,Undirected,,1,Rolle,verkörpert,Figur,
Lumpenweib,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Seinte Elmé,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Waise,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Onkel,Onkel von Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Liebhaber,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Weib,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Erzieherin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Pensionärin,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Genossin,weiblich von Volmar,Undirected,,1,Rolle,verkörpert,Figur,
Genossin,Flavia,Undirected,,1,Rolle,verkörpert,Figur,
Genossin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Großvikar,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
männlich,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
Beichtvater,Pater Télème,Undirected,,1,Rolle,verkörpert,Figur,
männlich,Pater Télème,Undirected,,1,Rolle,verkörpert,Figur,
Gottesmännlich,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
Liebhaber,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
Liebhaber,Pater Télème,Undirected,,1,Rolle,verkörpert,Figur,
Hohepriester,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Opfer,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Kleine,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Hure,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Sterbende,Laurette,Undirected,,1,Rolle,verkörpert,Figur,
Schuft,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
Verbrecher,Abbé Ducroz,Undirected,,1,Rolle,verkörpert,Figur,
Mutter,Mutter von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Vater,Vater von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Lakai,Lakai,Undirected,,1,Rolle,verkörpert,Figur,
Schwester,Justine,Undirected,,1,Rolle,verkörpert,Figur,
Diener,Lakai,Undirected,,1,Rolle,verkörpert,Figur,
Geschöpf,Délben,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Wirtin,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Vorsteherin,Délben,Undirected,,1,Rolle,verkörpert,Figur,
Kupplerin,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Koch,Koch der Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Gaunerin,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Jungfernräuber,eine Gruppe von Männern,Undirected,,1,Rolle,verkörpert,Figur,
männlich,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
weiblich,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Geschöpf,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Madame,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Knabe,zwei Knaben,Undirected,,1,Rolle,verkörpert,Figur,
Gemahlin,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Herr,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Gattin,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Lustknabe,zwei Knaben,Undirected,,1,Rolle,verkörpert,Figur,
Gatte,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Freundenknabe,zwei Knaben,Undirected,,1,Rolle,verkörpert,Figur,
Wüstling,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Ehehälfte,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Jungweiblich,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Mensch,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Weib,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Opfer,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Geliebte,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Henker,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Cousine,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Matrone,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Madame,Duvergier,Undirected,,1,Rolle,verkörpert,Figur,
Verbrecher,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Opfer,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Wesen,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Millionär,Mondor,Undirected,,1,Rolle,verkörpert,Figur,
Krösus,Mondor,Undirected,,1,Rolle,verkörpert,Figur,
Genossinen,Kolleginnen von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Priesterinnen,Kolleginnen von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Kolleginnen von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Führerin,Dienerin Mondors,Undirected,,1,Rolle,verkörpert,Figur,
Dame,Kolleginnen von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Dienerin,Dienerin Mondors,Undirected,,1,Rolle,verkörpert,Figur,
Sechziger,Mondor,Undirected,,1,Rolle,verkörpert,Figur,
Huren,Kolleginnen von Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Haushälterin,Dienerin Mondors,Undirected,,1,Rolle,verkörpert,Figur,
Geliebter,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
junger männlich,Lubin,Undirected,,1,Rolle,verkörpert,Figur,
Verräter,Lubin,Undirected,,1,Rolle,verkörpert,Figur,
Herr,sechs Männer,Undirected,,1,Rolle,verkörpert,Figur,
Fräulein,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Verbrecher,sechs Männer,Undirected,,1,Rolle,verkörpert,Figur,
Verbrecher,Lubin,Undirected,,1,Rolle,verkörpert,Figur,
Wohltäter,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Mensch,Lubin,Undirected,,1,Rolle,verkörpert,Figur,
Herr,ein Richter,Undirected,,1,Rolle,verkörpert,Figur,
Niederträchtiger,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Minette,Undirected,,1,Rolle,verkörpert,Figur,
männlich,ein Richter,Undirected,,1,Rolle,verkörpert,Figur,
Schuldige,Minette,Undirected,,1,Rolle,verkörpert,Figur,
Herr Dentemar,Mondor,Undirected,,1,Rolle,verkörpert,Figur,
Gott,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Wesen,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Freund,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Geizhals,Mondor,Undirected,,1,Rolle,verkörpert,Figur,
Mensch,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Minister,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Sklave,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Gode,Minette,Undirected,,1,Rolle,verkörpert,Figur,
Freund,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
männlich,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Gerichtsvorsitzender,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Wesen,vier Mädchen,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Eglée,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Lolotte,Undirected,,1,Rolle,verkörpert,Figur,
Blumengöttin,Lolotte,Undirected,,1,Rolle,verkörpert,Figur,
Person,Henriette,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Henriette,Undirected,,1,Rolle,verkörpert,Figur,
Mädchen,Lurdane,Undirected,,1,Rolle,verkörpert,Figur,
Lüstling,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Lüstling,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Lüstling,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Verbrecherin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Herr,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Herr,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Freund,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Schelm,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Schelm,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Zeugin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Frevler,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Unglückliche,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Jurist,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Jurist,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Schelmin,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Meister,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Meister,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Meister,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Bacchantin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Frevler,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Frevler,D'Albert,Undirected,,1,Rolle,verkörpert,Figur,
Zierpuppe,Madame de Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Schwiegersohn,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
Tochter,Tochter von Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Intimus,Noirceuil,Undirected,,1,Rolle,verkörpert,Figur,
König,König,Undirected,,1,Rolle,verkörpert,Figur,
Sklavin,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Gnaden,Minister Saint-Fond,Undirected,,1,Rolle,verkörpert,Figur,
Dame,Juliette,Undirected,,1,Rolle,verkörpert,Figur,
Abbé,männlich,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Ritter,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Stadtoberhaupt,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Fünfziger,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Bürgermeister,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Fabrikant,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Bauer,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Alter,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Vikar,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Geistlicher,Undirected,,1,Figur,verkörpert,Rolle,
Abbé,Pfarrer,Undirected,,1,Figur,verkörpert,Rolle,
Stadtgärtner,Stadtgärtner,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Stabsarzt,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Jakobiner,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Bonapartist,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Royalist,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Ritter,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,männlich,Undirected,,1,Figur,verkörpert,Rolle,
Adolf,Junge,Undirected,,1,Figur,verkörpert,Rolle,
Adolf,Ältester,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,Dreißigerin,Undirected,,1,Figur,verkörpert,Rolle,
Appert,Philantrop,Undirected,,1,Figur,verkörpert,Rolle,
Appert,Herr,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Lieber,Undirected,,1,Figur,verkörpert,Rolle,
Chélan,Pfarrer,Undirected,,1,Figur,verkörpert,Rolle,
Chélan,alter männlich,Undirected,,1,Figur,verkörpert,Rolle,
Marquis von la Mole,Großgrundbesitzer,Undirected,,1,Figur,verkörpert,Rolle,
Chélan,Gemütsmensch,Undirected,,1,Figur,verkörpert,Rolle,
Chélan,Geistlicher,Undirected,,1,Figur,verkörpert,Rolle,
Appert,Menschenfreund,Undirected,,1,Figur,verkörpert,Rolle,
Chélan,Führer,Undirected,,1,Figur,verkörpert,Rolle,
Herr Noiroud,Kerkermeister,Undirected,,1,Figur,verkörpert,Rolle,
Herr Noiroud,Kerl,Undirected,,1,Figur,verkörpert,Rolle,
Appert,Fremder,Undirected,,1,Figur,verkörpert,Rolle,
Herr Noiroud,Bulldogge,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,Vostand,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,Armenamtsvorstandes,Undirected,,1,Figur,verkörpert,Rolle,
zweites Kind der Rênals,Söhnchen,Undirected,,1,Figur,verkörpert,Rolle,
zweites Kind der Rênals,Junge,Undirected,,1,Figur,verkörpert,Rolle,
zweites Kind der Rênals,Kind,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,Mutter,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Sohn,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Priester,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Lateiner,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Liebling,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Ehrenlegionär,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Vetter,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Spion,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Bester,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,männlich,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,junger männlich,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,Bursche,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,keine Diplomatin,Undirected,,1,Figur,verkörpert,Rolle,
Herr von Rênal,Gatte,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,Gattin,Undirected,,1,Figur,verkörpert,Rolle,
Hauptmännlich von Rênal,Onkel,Undirected,,1,Figur,verkörpert,Rolle,
Hauptmännlich von Rênal,Hauptmännlich,Undirected,,1,Figur,verkörpert,Rolle,
Hauptmännlich von Rênal,Aristokrat,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,Wesen,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Gott,Undirected,,1,Figur,verkörpert,Rolle,
Valenod,Schelm,Undirected,,1,Figur,verkörpert,Rolle,
Der Sägemüller,Alter,Undirected,,1,Figur,verkörpert,Rolle,
Der Sägemüller,Bauer,Undirected,,1,Figur,verkörpert,Rolle,
Der Sägemüller,männlich,Undirected,,1,Figur,verkörpert,Rolle,
Der Sägemüller,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Gesuchter,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Junge,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Leser,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Mißhandelter,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Faulpelz,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Lümmel,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Mensch,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Bursche,Undirected,,1,Figur,verkörpert,Rolle,
Sägemüller,Vater,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Schwächling,Undirected,,1,Figur,verkörpert,Rolle,
Maslon,Kriegsmännlich,Undirected,,1,Figur,verkörpert,Rolle,
Sägemüller,Müller,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Leseratte,Undirected,,1,Figur,verkörpert,Rolle,
weiblich von Rênal,Dame,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Wicht,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Heuchler,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Freund,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Erzieher,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Lakai,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Schafskopf,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Leckermaul,Undirected,,1,Figur,verkörpert,Rolle,
Fouqué,Freund,Undirected,,1,Figur,verkörpert,Rolle,
Fouqué,Holzhändler,Undirected,,1,Figur,verkörpert,Rolle,
Julian,Bauernkind,Undirected,,1,Figur,verkörpert,Rolle,
Der Ortsrichter,Ortsrichter,Undirected,,1,Figur,verkörpert,Rolle,
Der Ortsrichter,Vater,Undirected,,1,Figur,verkörpert,Rolle,
